       CODIGO ;       DESCRIPCION ;            MARCA ;   CONTENIDO ;    UNIDADES POR CAJA ;  PRECIO POR CAJA;STOCK CAJA ;             AROMAS
775876001595;TRAPERO HUMEDO 10 UNIDADES;           TOLL ;;24; $23.760 ;204;LAVANDA , FLORAL
659525894252;TRAPERO HUMEDO 12 UNIDADES;         WINNEX  ;;12; $17.880 ;312;LAVANDA, FLORAL ,MANZANA,LIMON,MARINE
;TRAPERO HUMEDO CLASICO 10 UNIDADES ;            EXCELL ;;10; $1.430 ;1000;
;TRAPERO HUMEDO PISO FLOTANTE 10 UNIDADES ;            EXCELL ;;10; $1.430 ;1000;
;TRAPERO HUMEDO  HABRILLANTADOR MAS LIMPIADOR  10 UNIDADES;          EXCELL ;;10; $1.950 ;1000;
;TRAPERO HUMEDO ABRILLANTADOR  10 UNIDADES;         EXCELL ;;10; $3.180 ;1000;
7804673120033;TRAPERO HUMEDO 12MAS1 UNIDADES;   ULTRA CLEAN ;13 UNIDADES;12; $18.000 ;45;
;PASTAL DENTAL TRIPLE ACCION ;COLGATE ;   75ML ;1; $990 ;1000;
;PASTA DENTAL TRIPLE ACCION ;PEPSODENT ;;1; $720 ;1000;
;PASTAS DENTAL  INTEGRAL 18 ;PEPSODENT ;;1; $950 ;1000;
;PASTA DENTAL PACK 3;PEPSIODENT;90 GRS ;1; $2.290 ;1000;
;PASTA DENTAL  REGULAR PACK 3 ;FRESH  UP ;90 GRS ;1; $1.970 ;1000;
;PASTA DETAL WHITENING PACK 3;FRESH UP ;90 GRS ;1; $1.770 ;1000;
;CEPILLO DE DIENTES MEDIUM ;AQUAFRESH ;;1; $1.290 ;1000;
;CEPILLO DE DIENTES ADULTO SUAVE ;FRESH UP ;;1; $640 ;1000;
;CEPILLO DE DIENTES ADULTO MEDIO ;FRESH UP ;;1; $640 ;1000;
;CEPILLO DE DIENTE NIŃO ;FRESH UP ;;1; $640 ;1000;
;CEPILLO DE DIENTE NIŃO  PACK X2;FAMILY SET ;;1; $860 ;1000;
7758676002011;TOALLA HUMEDA 80 UNDS PACK 2;OVELLA ;;12; $27.480 ;17;
7758676002011;TOALLA HUMEDA 80 UNIDADES ;OVELLA ;;24; $28.560 ;3;
;TOALLA HUMEDAD 45 UNIDADES ;BABYSEC ;;1; $690 ;1000;
659525893941;TOALLA HUMEDA 80 UNIDADES ;SOFT WIPES ;;12; $10.680 ;238;
;TOALLA HUMEDA  72 UNIDADES;SOFT CLOUD;;1; $700 ;1000;
;TOALLA HUMEDA ADULTO ;ACTIVITY ;;1; $1.300 ;1000;
;TOALLA PAPEL LIKE ULTRA;TERSUS;70MTRS;6; $10.500 ;16;
6904542076483;DETERGENTE EN POLVO ;WINNEX;800GRAMOS;12;;312;
;;;;;;;
12523258974;REMOVEDOR DE MANCHAS POLVO;WINNEX;500 GRAMOS;12; $37.800 ;28;
7808304316031;RENOVADOR DE NEUMATICO ;TEDDY;500 ML;12; $18.600 ;1;
7808304390741;PACK PROMOCIONAL [RENOVADOR+CERA];TEDDY;500 ML;6; $16.560 ;2;
7805020003047;JAVON LIQUIDO;VIDABELL;750 ML;12; $14.400 ;7;
7791290796027;DETERGENTE POLVO OMO CON VICARBONATO ;OMO;800 ML;18; $30.420 ;9;
7791290791466;OMO PARA DILUIR PIEL SENSIBLE ;OMO;5OO ML;12; $44.280 ;27;
7791274000645;AROMATIZANTE DE TELAS VAIS ;ALGABO;500 ML;8; $25.920 ;7;
6976617700234;REPUESTO AROMATIZANTE ULTRA CLEAN ;ULTRA CLEAN ;40 ML;24; $38.140 ;7;
6976617700142;GEL AROMATIZANTE ULTRA CLEAN;ULTRA CLEAN ;212 GRAMOS;24; $28.320 ;19;
7805020003320;QUITAMANCHAS 2EN 1;EXCELL;960 ML;12; $20.760 ;41;
12345678288;DESODORANTE DE INODORO ;ULTRA CLEAN ;40 GRAMOS;24; $12.240 ;5;
27896015500133;CEPILLO AQUAFRESH PACK X2;AQUAFRESH;;12; $15.480 ;5;
7804920001580;DETERGENTE LIQUIDO FUZOL;FUZOL;3 LITROS;4; $21.960 ;2;
7730219040513;APOSITO COTIDIAN ;COTIDIAN;;12; $44.400 ;1;
7805020001760;LIMPIADOE PORCELANATO Y VINILICOS;EXCELL;900 ML;12; $18.360 ;4;
7805020002019;CERA AUTOBRILLO [ceramicos y baldosas ];EXCELL;900 ml;12; $27.120 ;6;
7805020010007;LIMPIADOR DE PISO FLOTANTE ;EXCELL;900 ML;12; $27.360 ;4;
7805020001784;CERA PINTURA ROJA;EXCELL;900 CC;12; $23.040 ;6;
7805020003016;LUSTRA MUEBLES LIQUIDO GATILLO;EXCELL;500 ML;12; $18.600 ;4;
7805020000930;ANTIGRASA GATILLO;EXCELL;500 ML;12; $17.520 ;10;
7805020002860;LIMPIADOR DE BAŃO GATILLO;EXCELL;500 ML;12; $20.640 ;2;
8794652126592;FILMS PLASTICO TRANSPARENTE;HOME KING;70 METROS;48; $57.120 ;1;
7805020010045;SHAMPOO ALFOMBRA Y TAPICES;EXCELL;900 CC;12; $23.880 ;6;
7805020002033;LUSTRA MUEBLES ;EXCELL;500 CC;15; $29.850 ;6;
7804673120064;TELA  ANTIBACTERIAL ;ULTRA CLEAN ;30 UNIDADES;24; $30.960 ;7;
7805020000718;ABRILLANTADOR PISO FLOTANTE;EXCELL;900 CC;12; $34.800 ;2;
7791274192883;ESPUMA DE AFEITAR;ALGABO;400 GRAMOS;12; $25.080 ;7;
8698898464541;ANTIGRASA GATILLO WINNEX;WINNEX;500 ML;12; $14.760 ;3;
7791274004377;TALCO OPARA PIES ;ALGABO;100 GRAMOS;12; $10.680 ;5;
7791274005305;QUITAESMALTE FORTALECEDOR;ALGABO;100 ML;24; $20.880 ;3;
7061200108;RENOVADOR ESPUMA AUTOLIMPIANTE;KIT;360 ML;12; $23.880 ;3;
730170695354;DESODORANTE PARA INODORO;WINNEX;40 GRAMOS;24; $19.920 ;26;
7790520024527;PASTILLAS PARA ESTANQUE;LYSOFORM;80 GRAMOS;12; $31.080 ;10;
7791274196416;TALCO PARA PIES BOLSA ;ALGABO;200 GRAMOS;24; $8.090 ;3;
7805000180898;PASTA DENTAL PEPSODENT PACK 3X2;PEPSODENT;90 GRAMOS;18; $41.220 ;4;
8698898468334;LIMPIADOR EN CREMA WINNEX;WINNEX;750 GRAMOS;12; $22.000 ;6;
7808304316277;LIMPIADOR EN CREMA TEDDY;TEDDY;500 ML;12; $13.920 ;1;
7805020000787;LIMPIADOR EN CREMA EXCELL;EXCELL;250 ML;15; $17.100 ;7;
12345678127;BOLSA DE BAUSRA 100 X 120;WINNEX;10 UNIDADES;20; $46.600 ;6;
7758676000796;BOLSA DE BASURA 90 X120;WINNEX;10 UNIDADES;20; $34.800 ;4;
785020003122;BOLSA DE BASURA 90 X 120 ;EXCELL;10 UNIDADES;24; $45.360 ;4;
7805020003115;BOLSA DE BASURA 80 X 110;EXCELL;10 UNIDADES;24; $28.560 ;54;
7805020003108;BOLSA DE BASURA 70X 90;EXCELL;10 UNIDADES;48; $32.640 ;60;
25060955510155;BOLSA DE BASURA 55X50 BLANCA;ULTRA CLEAN ;20 UNIDADES;100; $100.000 ;4;
7891150090231;PASTA DENTAL PEPSODENT TRIPLE+;PEPSODENT;90 GRAMOS;12; $8.640 ;90;
789115009826;PASTA DENTAL PEPSODENT INTEGRAL 18;PEPSODENT;90 GRAMOS;12; $11.400 ;4;
7791274199431;SHAMPOO;ALGABO;930 ML;12; $15.160 ;2;
7804932000601;BRIKS LAVALOZAS CONSENTRADO;BRIKS;2 LITROS;8; $10.320 ;3;
7805020002040;LAVALOZAS DESENGRASANTE BOLSA;EXCELL;1 LITRO;12; $7.840 ;61;
7805020003337;LAVALOZA DESENGRASANTE EXCELL;EXCELL;750 CC;12; $15.720 ;3;
78050120001968;QUITA GRASA PROFECIONAL GATILLO;EXCELL;500 ML;12; $21.000 ;3;
7808304316581;CLORO EN TABLETAS  TEDDY;TEDDY;1 KG;20; $4.250 ;20;
556622467000;PASTILLA DE CLORO GRANDE ;TEDDY;1 KG;6; $3.680 ;18;
802371895796;LIMPIAPISO AYE ;AYE;2 LITROS;6; $5.940 ;25;
aye;DESENGRASANTE AYE;AYE;1 LITRO;12; $10.680 ;2;
7509546653518;LIMPIAPISO AYE ;AYE;900 ML;12; $6.240 ;19;
7500435113601;DESENGRASANTE AYE GATILLO;AYE;1 LITRO;12; $17.880 ;5;
2584172211000;REMOVEDOR DE SARRO AYE;AYE; 1 LITRO;12; $10.680 ;6;
255444444;CERA PINTURA ROJA AYE;AYE;1 LITRO;12; $10.680 ;2;
255844;CERA PINTURA ROJA AYE;AYE;5 LITROS;1; $2.890 ;7;
7751851005982;DESENGRASANTE AYE;AYE;5 LITROS;1; $2.890 ;53;
4231646;DETERGENTE PERLADO AYE;AYE;5 LITROS;1; $1.590 ;107;
7800988598758;DETERGENTE BRIKS;BRIKS;5 LITROS;1; $3.290 ;630;
45567777;DETERGENTE ECONOMICO AYE;AYE;5 LITROS;1; $1.490 ;118;
7808304316093;PAŃO  MICROFIBRA TEDDY;TEDDY;;25; $10.880 ;1;
7804673120118;VALDE TRAPEADOR ;ULTRA CLEAN;;1; $3.600 ;15;
7751851024006;BOLSA DE BASURA 80X110;WINNEX;;20; $32.800 ;4;
7805020002392;DISCOS ACTVOS EXCELL;EXCELL;38 ML;0; $20.280 ;10;
7805020002989;TRAPERO HUMEDO ABRILLANTADOR PISO FLOTANTE EXCELL;EXCELL;10 UNIDADES;10; $31.080 ;5;
70805020002638;TRAPERO HUMEDO PISO FLOTANTE DESINFECTANTE EXCELL;EXCELL;10 UNIDADES;10; $14.300 ;77;
7805020002637;TRAPERO HUMEDO CLASICO;EXCELL;10 UNIDADES;10; $14.300 ;102;
8696630143983;DESODORANTE AMBIENTAL WINNEXS;WINNEX;400 ML;12; $11.640 ;20;
8696630142801;DESODORANTE AMBEINTAL WINNEXS;WINNEXS;250 ML;12; $17.280 ;38;
7805040000552;DESODORANTE AMBIENTAL AROM;AROM;225 GRAMOS;12; $14.280 ;48;
7805020003382;TRAPERO HUMEDO 2 EN 1 [LIMPIADOR +ABRILLANTADOR ];EXCELL;10 UNIDADES;10; $19.500 ;7;
7805020001913;CLORO GEL EXCELL;EXCELL;900 ML;12; $12.240 ;148;
7805020003580;QUITAMANCHAS GATILLO;EXCELL;500 ML;12; $18.960 ;12;
7805020002859;LIMPIADOR DE BAŃO ULTRA PAWER PRFESIONAL GATILLO;EXCELL;500 ML;12; $19.680 ;20;
7791290794924;LAVALOZA RINSO;RINSO;750 ML;12; $14.840 ;27;
7805020000794;LIMPIADOR CREMA EXCELL ;EXCELL;500 ML;12; $15.360 ;8;
7805020003085;SUAVIZANTE PARA DILUIR EXCELL BOLSA;EXCELL;500 ML;12; $21.960 ;6;
7702626204642;VANISH POLVO ;VANISH;30 GRAMOS;12; $8.400 ;72;
7805000322038;LAVALOZA QUIX;QUIX;1.500 ML;8; $21.520 ;2;
7730219099122;TOALLAS HUMEDAS BABYSEC;BABYSEC;40 UNIDADES;24; $30.960 ;3;
8681554621020;TOALLAS LIMPIAMUEBLES WINNEXS;WINNEX;80UNIDADES;12; $19.200 ;5;
7791274004711;CREMA CORPORAL HIDRATANTE ALGABO;ALGABO;400 ML;12; $26.640 ;9;
25060955510150;BOLSA DE BASURA ULTRA CLEAN 105X150;ULTRA CLEAN;10 UNIDADES;10; $28.500 ;76;
7791274196508;SHAMPOO BABY ALGABO;ALGABO;444 ML;12; $16.440 ;13;
7791274004391;ACONDICIONADOR KIDS ALGABO ;ALGABO;350 ML;12; $18.000 ;5;
7804673120149; BOLSA DE BASURA ULTRA CLEAN 70X90;ULTRA CLEAN;10 UNIDADES;50; $34.000 ;60;
7791290794221;CIF CREMA MULTIUSO;CIF;750 MGRAMOS;12; $14.760 ;46;
764451183605;"LIMPIAPISOS WINNEX :) :)  ;)  ;):):)";WINNEX;900 ML;12; $11.160 ;79;
6932757126655;TOALLAS FEMENINAS CARE UP NOCHES TRANQUILAS;CARE UP;16 TOALLAS ;12; $18.720 ;2;
6932757154740;TOALLAS FEMENINAS ULTRAFINA CON ALAS;CARE UP;16 TOALLAS ;12; $17.160 ;2;
7804670490351;TOALLAS HUMEDAS CARE UP;CARE UP;45 UNIDADES;24; $21.600 ;2;
7808304316574;TOALLAS HUMEDAS DESINFEGTANTES TEDDY;TEDDY;50 UNIDADES;12; $14.880 ;1;
659525893996;COTONITO 200 UNID SOTF CLOUD;SOTF CLOUD;200 UNIDADES;48; $950 ;144;
659525893989;COTONITO 100 UNID SOFT CLOUD;SOFTCLOUD;100 UNIDADES;48; $690 ;288;
659525894009;COTONITOS 300 UNID SOFT CLOUD;SOFTCLOUD;300 UNIDADES;48; $1.150 ;240;
7805045000120;DETERGENTE LIQUIDO POPEYE 3 LITROS;POPEYE;3 LITROS;4; $38.760 ;33;
8888021206135;PILAS AA ENERGIZER;ENERGIZER;12;12; $5.880 ;6;
7805020311029;LIMPIAPISOS EXCELL;EXCELL;900 ML;12; $9.120 ;125;
257958000000;PALA PLASTICA ULTRA CLEAN;ULTRA CLEAN;1;30; $35.700 ;2;
7804673122999;escobillon economico uiltra clean x48 unid;ULTRA CLEAN;1;48; $57.120 ;1;
7804673120095;escoba economica ultra clean x24 unid;ultra clena ;1;24; $28.560 ;11;
;;;;;;;
7805020004122;bolsa de basura 90x120 excell;EXCELL;10 unidades;24; $45.360 ;5;
7806810016353;limpiapisos virutex ;virutex;900 ml;12; $11.880 ;30;
7509546000985;pasta dental cogate ;colgate;75 ml;12; $11.880 ;21;
7804670490405;ENJUAGUE BUCAL FREHS;FRESH UP;1000 ML;6; $28.920 ;2;
7804670490023;ENJUAGUE BUCAL FRESH UP;FRESH UP;500 ML;12; $33.480 ;1;
7702031563327;ENJUAGUE BUCAL LISTERINE ;LISTERINE;180 ML;12; $15.480 ;7;
658325192483;DESODORANTE AMBIENTAL BRILLEX;BRILLEX;400 ML;12; $11.640 ;8;
7790520992055;INSECTICIDA CASA JARDIN RAID;SC JHONSON;271 GRAMOS;12; $35.880 ;3;
659525541491;LIMPIA VIDRIOS Y SUPERFICIES WINNEX;WINNEX;650 ML;12; $14.760 ;7;
7805020002200;REMOVEDOR REST A CLIN ;EXCELL;500 ML;14; $25.640 ;2;
7759185010542;TOALLAS FEMENINAS NOCTURNA MAXI PRO ;LADYSOFT;10 UNIDADES;8; $11.920 ;1;
7702026173654;TOALLAS FEMENINAS ULTRA DELGADA X8;NOSOTRAS;8 TOALLAS;30; $21.000 ;5;
7790250096122;TOALLAS FEMENINAS ULTRADELGADA X16;LADYSOFT;16 TOALLAS ;12; $18.600 ;1;
7702026173494;TOALLAS FEMENINAS NATURAL-V NORMAL CON ALAS;NOSOTRAS;8 TOALLAS;30; $22.500 ;14;
7790250096061;TOALLA FEMENINA ULTRA DELGADA  X8;LADYSOFT;8 TOALLAS;24; $23.520 ;14;
7702026178642;TOALLAS FEMENINAS PROTECCION-V DELGADA X6;NOSOTRAS;6 TOALLAS;24; $16.800 ;12;
7806500962823;TOALLAS FEMENINAS NOCTURNA ULTRA DELGADA X7;LADYSOFT;7 TOALLAS;24; $19.440 ;9;
7806500961024;TOALLA FEMENINA PACK X16  NORMAL;LADYSOFT;16 UNIDADES;12; $15.360 ;13;
6976617700289;ESPONJA SUAVE-ORO-PLATA;ULTRA CLEAN;3 UNIDADES;10 PAKS; $9.500 ;350;
6976617700067;ESPONJA MAGICA X3;ULTRA CLEAN;3 UNIDADES;PAK X3; $900 ;120;
6976617700128;ESPONJA CERO RAYAS PACKS X3;ULTRA CLEAN;3 UNIDADES;PACK X3; $880 ;200;
6976617700074;ESPONJA MAGICA X20;ULTRA CLEAN;2O UNIDADES;PACK X20; $7.500 ;48;
6976617700265;ESPONJA ABRASIVA X3;ULTRA CLEAN;3 UNIDADES;PACKS X3; $800 ;100;
6976617700135;ESPONJA CERO RAYAS PACKS X20;ULTRA CLEAN;20 UNIDADES;PAKSX20; $7.080 ;47;
7808304316475;GUANTES AMARLLOS TEDDY;TEDDY;12 UNIDADES;12; $7.560 ;12;
976617700982;GUANTES NITRILO ULTRA CLEAN;ULTRA CLEAN;1 PAR;10; $9.900 ;10;
5808304316109;PAŃO DE COCINA MICROFIBRA ;TEDDY;;25; $11.250 ;6;
7790250096085;TOALLAS FEMENINAS NORMAL X8;LADYSOFT;8 TOALLAS;24; $16.800 ;13;
6976617700272;ESPONJA GRILL XL X2 ;ULTRA CLEAN;2 UNIDADES;; $900 ;400;
8698898464732;ESPONJA ABRASIVA WINNEX X5;WINNEX;5 UNIDADES;36; $20.880 ;9;
7808304315867;virutills plateada tddy x25;teddy;25 unidades;25; $5.400 ;5;
7808304315850;virutilladorada x25 teddy;teddy;25 unidades;25; $8.000 ;6;
6976617700005;esponja galvanizada x1 ultra clean;ultra clean;1 unidad;; $450 ;350;
98000000;trapero de algodon teddy;teddy;25 unidades;25; $13.000 ;6;
6933290400325;jabonera economica;;10 unidades;10; $5.640 ;15;
6949744320880;escobilla grande  para ropa ;;10 unidades;10; $5.400 ;4;
9338312003497;escobilla pequeńa x2;;12 paks x2;12; $8.280 ;5;
7805020002354;esponja plateada safi tex;safi tex;1;12; $3.000 ;20;
123;cepillo de bańo ;;1;1; $890 ;30;
6920155211110;set de ducha ;;;; $970 ;15;
6926370691003;esponja deluxe colores;;packs x12;12; $890 ;20;
6957136500154;pasta dental kids x12;;12 unidades;12; $10.200 ;6;
7758676001649;toalla humeda adulto activity;activity;12 unidades;12; $15.600 ;7;
7806500731177;toalla humeda babysec x45;babysec;45 unidades;12; $8.280 ;45;
7758676001670;toalla humeda soft cloud animalito;souft cloud;72 unidades;24; $16.800 ;25;
1253696457200;velas pequeńa winnex;WINNEX;4 unidades;60; $48.600 ;6;
12523338973;vela grande winnex;WINNEX;4 unidades;60; 51.00 ;4;
7805020003573;detergente para ropa negra;;1 litro;8; $26.000 ;10;
6957136500222;pasta dental fresh up x6;frehs up;130 gramos;6; $5.340 ;24;
7758676001625;toalla humeda garffield;soft wipes;80 unidaes;12; $15.360 ;16;
7758676001151;toalla cilicona wiinex cars;WINNEX;80 unidaes;12; $25.200 ;6;
7805020002507;antigrasa doypack;EXCELL;500 ml;12; $10.080 ;13;
7805020002491;multiusos limpiavidrios excell;EXCELL;500 ml;12; $10.080 ;14;
7805020002385;pastillas para estanque x3;EXCELL;3 unidaes;24; $439.209 ;5;
7808304315966;pańo esponja premiun teddy;teddy;3 unidades;3; $780 ;20;
7806500406860;nova ultra gigante 70;nova;70 metros;8; $16.500 ;8;
7806500508335;confort noble de 23 metros;noble;packs x3;8; $8.890 ;434;
7806500509820;confort elite 50 metros;elite;packs x2;8; $17.490 ;18;
7806500507116;confort confort x50 metros;confort;packs x2;8; $16.250 ;16;
7804653341809;confort suan 20 metros;suan;packs x6;8; $8.490 ;34;
7804670070478;conforte ovella 22 metros;ovella;packs x6;8; $8.490 ;2;
7806500508533;confort noble 22 metros;noble;packs x6;8; $9.890 ;30;
7804670070355;conforte ovella de 50 metros;ovella;packs x4;8; $13.490 ;5;
7804653341601;nova suan ultra x70;suan;70 metros;8; $13.690 ;13;
7804670070461;nova ovella roja xl;ovella;100 metros;6; $7.500 ;7;
7806500241201;servilleta nova pack familiar;nova ;300 unidaes;20; $21.000 ;5;
7806500401339;nova clasica giganrte x70;nova ;70 metros;8; $13.690 ;189;
7806500406884;nova clasica x3;nova ;packs x3;8; $6.490 ;70;
7804670070522;nova ovella gigante de 100 metros;ovella;100 metros;6; $13.690 ;22;
7806500752202;pańal babysec ;babysec;14 unidades;8; $20.500 ;56;
7804670490467;pańal para adulto care up x16;care up;16 unidades;16; $9.500 ;19;
7804670490436;pańal para adulto caree up x 20;care up;20 unidades;20; $11.990 ;10;
7804670490474;sabanilla care up x8;care up;8 unidades;8; $4.290 ;8;
7804670490481;aposito multiuso care up;care up;20 unidades;20; $2.790 ;10;
12345;pańos amarillos;;360 unidades;1; $64.800 ;11;
